input,State
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high",Caution
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high",Caution
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high",Nominal
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high",Nominal
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high",Nominal
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high",Nominal
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high",Nominal
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high",Nominal
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high",Nominal
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high",Nominal
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high",Nominal
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high",Nominal
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high",Nominal
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high",Nominal
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:low",Nominal
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low",Nominal
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low",Nominal
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low",Nominal
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low",Nominal
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low",Nominal
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low",Caution
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low",Caution
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low",Caution
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low",Caution
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low",Caution
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:med",Caution
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:med,p:med",Caution
